name,price,type,description,features_result,i_features_result,o_features_result
"Boston, MA, Address available on request","
            
                USD $649,000 
            
            ",Apartment,"desc::Reference: VIZB-T8854. Originally a printing press that anchored South Boston to the Fort Point Channel, Court Square Press continues its legacy as one of Boston's flagship buildings. Constructed in 1906 as a true brick and beam landmark and converted to condos in 2003, a rich history steps seamlessly into the future with modern finishes and amenities while the spectacular location allows residents to easily access all of the cities most vibrant neighborhoods on foot or via the adjacent red||","Property Type::
                        Apartment
                    ||House Size::
                    
                        76.00
                        
                            m||Rooms::1 bedroom/1 bathroom/||Address::Boston, MA, Address available on request||",,
"Boston, MA, Address available on request","
            
                USD $725,000 
            
            ",Apartment,"desc::Reference: VIZB-T8856. A large one bedroom condo located in the heart of the North End. This unit has a wonderful open floor plan that lends itself to entertaining and convenient living. The lovely, spacious living room, with a wall of windows and a stunning gas fire place, leads to a well-designed kitchen with granite and stainless steel appliances and a designated dining area. Tall ceilings, dark wood floors, exposed brick, decorative ceiling beams and other details add character and charm||","Property Type::
                        Apartment
                    ||House Size::
                    
                        73.00
                        
                            m||Rooms::1 bedroom/1 bathroom/||Address::Boston, MA, Address available on request||",,
"Boston, MA, Address available on request","
            
                USD $754,161 
            
            ",,"desc::Reference: VIZB-T16730. Authentic brick and beam one-bedroom loft in the heart of the South End’s SoWa arts district. Features include a large living room with separate dining area, exposed brick walls, original wood beam ceilings and concrete floors. A modern, open kitchen with subway tile backsplash, granite countertops, stainless steel appliances and plenty of cabinet space. The large bedroom has two large windows and fabulous closet space. Additional features of this unique home include||","Rooms::1 bedroom/1 bathroom/||Address::Boston, MA, Address available on request||",,
"Boston, MA, Address available on request","
            
                USD $829,724 
            
            ",Apartment,"desc::Details :- Reference: VIZB-T16732. Beautiful unit w/ heated garage parking in the Allele, one of South Boston’s most coveted buildings. This fantastic home features a new white kitchen w/ quartz counters, marble backsplash, breakfast bar & stainless appliances. The gracious layout offers space for a dining table & comfortable living room, leading to a private patio. The master bedroom w/ its custom closet will be an end-of-day oasis, while a bonus room is perfect for a guest space, office or den. A||","Property Type::
                        Apartment
                    ||Rooms::2 bedrooms/1 bathroom/||Address::Boston, MA, Address available on request||",,Terrace::True||
"160 Commonwealth Ave Unit 211, Boston-Back Bay, MA 02116","
            
                USD $775,000 
            
            ",Townhouse,"desc::Live in historic elegance in the heart of the Back Bay at one of Boston's iconic addresses, the Vendome. Rarely available corner 1 bedroom is bathed in sunlight all day and features soaring ceilings with 7-foot windows encased in custom wood shutters and warm wood flooring throughout. Welcoming living space has an ornate fireplace surround and exposed brick wall as its focal point and plenty of space to lounge, dine or WFH. The kitchen is fully appliance with plenty of sleek white cabinetry. A spacious bedroom with great storage, tile bath and newly updated central air round out the living space. The Vendome offers a 24-hour concierge and overlooks the famed Commonwealth Mall very near the Boston Public Garden and Charles River Esplanade for outdoor enthusiasts amid the dining, shopping and nightlife integral to the downtown Boston experience.||","Property Type::
                        Townhouse
                    ||Year Built::
                1881
            ||House Size::
                    
                        59.92
                        
                            m||Rooms::1 bedroom/1 bathroom/||Architecture Style::Other||Provider::
                Engel & Volkers Boston
            ||Franchise::
                Engel & Völkers
            ||Subdivision::
                Back Bay
            ||Address::160 Commonwealth Ave Unit 211, Boston-Back Bay, MA 02116||",,
"365 Faneuil St Unit 04, Boston, MA 02135","
            
                USD $365,000 
            
            ",Townhouse,"desc::Conveniently located off the highway is this gorgeous garden level unit. It makes a great cozy home or an amazing investment unit. Rental income potential of $2k/month! This unit is recently painted and boasts renovations done in the last couple of years. The spacious main bedroom offers enough room for a desk and comes with a wide closet. The eat-in kitchen features ample cabinetry and 2020 stove and dishwasher. Professionally managed building with security intercoms. Located in Brighton's Oak Square neighborhood, just a half mile from the Charles River where you can kayak, jog and even take moonlight dance classes. The area is loaded with delicious restaurants and local shops. Across the street Hardiman Playground is practically your front yard. Just out the rear door, find your deeded off-street parking space. Commuters will appreciate quick access to I-90 and public transportation, with the 57, 501, and 64 bus routes all nearby.||","Property Type::
                        Townhouse
                    ||Land Size::
                
                    80.94
                    
                        m||Year Built::
                1973
            ||House Size::
                    
                        70.14
                        
                            m||Rooms::2 bedrooms/1 bathroom/||Architecture Style::Other||Provider::
                Engel & Volkers Boston
            ||Franchise::
                Engel & Völkers
            ||Address::365 Faneuil St Unit 04, Boston, MA 02135||",,
"156 Baker Street, Walpole, MA 02081","
            
                USD $1,590,000 
            
            ",Land,direction::Direction: Route 95 to Route 1 to Old Post Road (in Sharon) turns into Baker Street (in Walpole)Route 1A to Route 27 to Washington Street to Baker Street.||,"Property Type::
                        Land
                    ||Land Size::
                
                    14,447.29
                    
                        m||Architecture Style::Other||Provider::
                Thurston Residential R.E.
            ||County::
                Norfolk
            ||Parcel ID::
                00035-00135
            ||Neighbourhoods::Walpole||Address::156 Baker Street, Walpole, MA 02081||",,
"4 Kay's Walk Unit 15, Carlisle, MA 01741","
            
                USD $974,000 
            
            ",House,"desc::Woodward Village is a self-contained community situated within the rural splendor of Carlisle, Massachusetts. Organized around an ample common green, this 18-home neighborhood enjoys all the advantages of the town's characteristic open spaces, coupled with the close-knit atmosphere and high-quality, eco-friendly construction that characterizes developments by NOW Communities. Only ten of Woodward Village's 42 acres will be developed, meaning residents will be surrounded by an abundance of permanently protected open space w/direct trail access to enjoy revered conservation land. The community has been designed sympathetically with the landscape to have minimal impact on local wildlife. All 18 comfortable and beautiful homes are Net-Zero Possible with a HERS rating of 45 means ultra-low operating costs for homeowners and a low impact on the environment. Many offer 1st flr master bedroom en suite, open floor plans & more! Reserve your oasis designed for a future-focused lifestyle today!||","Property Type::
                        House
                    ||Year Built::
                2020
            ||Car Spaces::2||House Size::
                    
                        228.54
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Provider::
                Engel & Volkers Concord
            ||Franchise::
                Engel & Völkers
            ||Address::4 Kay's Walk Unit 15, Carlisle, MA 01741||",Roof Types::Asphalt||,
"210 Haverhill Road, Topsfield, MA 01983","
            
                USD $775,000 
            
            ",House,"desc::Natural light abounds in this large home on 2 acres bordering Boxford and Ipswich!  This property is move-in ready with many updates providing carefree living!  The family room is sure to be one of your favorite places with it's cathedral ceiling, radiant floor, pellet stove and large windows overlooking the deck and private backyard. Large kitchen adjacent to formal dining and sitting area with fireplace. 3 season sunroom with vaulted ceiling, and sliding doors to the large deck is perfect for entertaining. Easy access to all major routes while remaining private and peaceful. Just in time to get in for the Spring and start your gardening! No showings until first Open House Thursday 2/10 12-1:30.||","Property Type::
                        House
                    ||Land Size::
                
                    8,093.72
                    
                        m||Year Built::
                1964
            ||Car Spaces::2||House Size::
                    
                        226.78
                        
                            m||Rooms::4 bedrooms/2 bathrooms/||Architecture Style::Colonial||Provider::
                Engel & Volkers By The Sea
            ||Franchise::
                Engel & Völkers
            ||Address::210 Haverhill Road, Topsfield, MA 01983||",,Deck::True||
"Sherwood Drive Southwest, Meadow Brook, MA","
            
                USD $12,597 
            
            ",Land,desc::Details :- Reference: GJSC-T44730. Located in Meadow Brook.||,"Property Type::
                        Land
                    ||House Size::
                    
                        4,046.89
                        
                            m||Rooms::1 bedroom/1 bathroom/||Address::Sherwood Drive Southwest, Meadow Brook, MA||",,
