name,price,type,description,features_result,i_features_result,o_features_result
"20405 Lichfield Road, Detroit, MI 48221","
            
                USD $339,900 
            
            ",House,direction::Direction: Take Lichfield south off of 8 Mile Road||,"Property Type::
                        House
                    ||Land Size::
                
                    566.56
                    
                        m||Year Built::
                1929
            ||House Size::
                    
                        174.38
                        
                            m||Rooms::3 bedrooms/3 bathrooms/1  basement/||Architecture Style::Tudor||Num Floors::2.0||Provider::
                HANNETT WILSON & WHITEHOUSE LLC
            ||Franchise::
                Berkshire Hathaway HomeServices
            ||County::
                Wayne
            ||Subdivision::
                WOODWARD (PLATS)
            ||Parcel ID::
                W02I005651S
            ||Neighbourhoods::Det 6-8 Grfld-Dequindre||Address::20405 Lichfield Road, Detroit, MI 48221||",Security System::True||Fire Place::True||Cable Ready::True||Roof Types::Asphalt||,Basement::True||Exterior Types::Brick||
"11921 LANSDOWNE Street, Detroit, MI 48224","
            
                USD $35,000 
            
            ",House,direction::Direction: N of Grayton / E of Kelly||,"Property Type::
                        House
                    ||Land Size::
                
                    687.97
                    
                        m||Year Built::
                1948
            ||House Size::
                    
                        125.88
                        
                            m||Rooms::4 bedrooms/2 bathrooms/1  basement/||Architecture Style::Bungalow||Num Floors::1.5||Provider::
                Dwellings Unlimited, LLC
            ||County::
                Wayne
            ||Subdivision::
                LINCOLN GARDENS
            ||Parcel ID::
                W21I058486S001
            ||Neighbourhoods::Det Con-Mors/Grat. Hstn/7 Mack||Address::11921 LANSDOWNE Street, Detroit, MI 48224||",,Basement::True||Exterior Types::Brick||
"24025 Battelle Avenue #24, Hazel Park, MI 48030","
            
                USD $301,210 
            
            ",Townhouse,"direction::Direction: Furnished model and Information center open daily off of Woodward Heights Blvd, just east of John R. Rd. Closed Thursdays and Fridays.||","Property Type::
                        Townhouse
                    ||Car Spaces::1||House Size::
                    
                        123.93
                        
                            m||Rooms::2 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::3.0||Provider::
                Robertson Homes
            ||Subdivision::
                Park 54
            ||Neighbourhoods::Park 54||Address::24025 Battelle Avenue #24, Hazel Park, MI 48030||",,
"29266 TESSMER Court, Madison Heights, MI 48071","
            
                USD $79,200 
            
            ",Apartment,direction::Direction: Turn into Madison Manor Condo's just W off Dequinder off Twelve Mile Road.  This unit is in far back N corner just past the pool||,"Property Type::
                        Apartment
                    ||Year Built::
                1957
            ||House Size::
                    
                        85.47
                        
                            m||Rooms::2 bedrooms/2 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                Keller Williams Royal Oak
            ||Franchise::
                Keller Williams Realty
            ||County::
                Oakland
            ||Subdivision::
                MADISON MANOR OCCPN 126
            ||Parcel ID::
                2512478117
            ||Neighbourhoods::Madison Heights||Address::29266 TESSMER Court, Madison Heights, MI 48071||",Roof Types::Asphalt||,Basement::True||Pool::True||Exterior Types::Brick||
"1063 CAPITOL Avenue, Lincoln Park, MI 48146","
            
                USD $85,000 
            
            ",House,"direction::Direction: North on Fort st, turn right on Capitol, go east one block and the property is on the right||","Property Type::
                        House
                    ||Land Size::
                
                    445.15
                    
                        m||Year Built::
                1930
            ||House Size::
                    
                        118.92
                        
                            m||Rooms::4 bedrooms/2 bathrooms/1  basement/||Architecture Style::Colonial||Num Floors::2.0||Provider::
                Keller Williams Realty Novi Market Center
            ||Franchise::
                Keller Williams Realty
            ||County::
                Wayne
            ||Subdivision::
                WASHINGTON PARK SUB
            ||Parcel ID::
                45012030231000
            ||Neighbourhoods::Lincoln Park||Address::1063 CAPITOL Avenue, Lincoln Park, MI 48146||",Fire Place::True||Cable Ready::True||Wired::True||Roof Types::Asphalt||,Basement::True||Exterior Types::Brick||
"27130 NEW YORK Street, Inkster, MI 48141","
            
                USD $19,900 
            
            ",House,direction::Direction: North of Carlyse East of Inkster||,"Property Type::
                        House
                    ||Land Size::
                
                    647.50
                    
                        m||Year Built::
                1950
            ||House Size::
                    
                        84.45
                        
                            m||Rooms::3 bedrooms/1 bathroom/1  basement/||Architecture Style::Bungalow||Num Floors::1.5||Provider::
                John Graham Realty
            ||County::
                Wayne
            ||Subdivision::
                WESTWOOD SUB OF VAN ALSTINE FARM
            ||Parcel ID::
                44022010539000
            ||Neighbourhoods::Inkster||Address::27130 NEW YORK Street, Inkster, MI 48141||",Roof Types::Asphalt||,Basement::True||Exterior Types::Aluminum Siding||
"738 EASLEY Drive, Westland, MI 48186","
            
                USD $135,000 
            
            ",House,"direction::Direction: Venoy South from Cherry Hill, Right on Easley||","Property Type::
                        House
                    ||Land Size::
                
                    485.62
                    
                        m||Year Built::
                1957
            ||House Size::
                    
                        118.36
                        
                            m||Rooms::3 bedrooms/2 bathrooms/1  basement/||Architecture Style::Other||Num Floors::3.0||Provider::
                Century 21 Premier
            ||Franchise::
                Century 21 Real Estate
            ||County::
                Wayne
            ||Subdivision::
                AVONDALE HEIGHTS SUB
            ||Parcel ID::
                56066020037002
            ||Neighbourhoods::Westland||Address::738 EASLEY Drive, Westland, MI 48186||",Cable Ready::True||Wired::True||Roof Types::Asphalt||,Basement::True||Exterior Types::Brick||
"29690 VISTA Court N, Farmington Hills, MI 48331","
            
                USD $239,900 
            
            ",Apartment,direction::Direction: Go West on Thirteen Mile Rd and enter Vista Dr and turn Right on Vista Ct||,"Property Type::
                        Apartment
                    ||Year Built::
                1988
            ||House Size::
                    
                        189.80
                        
                            m||Rooms::3 bedrooms/3 bathrooms/1  basement/||Architecture Style::Colonial||Num Floors::2.0||Year Updated::2000||Provider::
                GSA Elite Realty
            ||County::
                Oakland
            ||Subdivision::
                THE MEADOWS CONDO OCCPN 450
            ||Parcel ID::
                2304476050
            ||Neighbourhoods::Farmington Hills||Address::29690 VISTA Court N, Farmington Hills, MI 48331||",Sprinkler System::True||Roof Types::Asphalt||,Basement::True||Exterior Types::Brick and Wood||
"24683 PHEASANT RUN Road, Flat Rock, MI 48134","
            
                USD $210,000 
            
            ",House,"direction::Direction: W. OF TELEGRAPH, N. ON SYLVAN, E. ON PHEASANT RUN||","Property Type::
                        House
                    ||Land Size::
                
                    607.03
                    
                        m||Year Built::
                1993
            ||House Size::
                    
                        152.36
                        
                            m||Rooms::3 bedrooms/3 bathrooms/1  basement/||Architecture Style::Colonial||Num Floors::2.0||Provider::
                FOUR SEASONS REALTY
            ||County::
                Wayne
            ||Subdivision::
                WOODLAND HEIGHTS SUB NO 2
            ||Parcel ID::
                70050020130000
            ||Neighbourhoods::Brownstown (Central)||Address::24683 PHEASANT RUN Road, Flat Rock, MI 48134||",Fire Place::True||Cable Ready::True||Wired::True||Roof Types::Asphalt||,Basement::True||Exterior Types::Brick||
"557 Curzon Road, Rochester Hills, MI 48307","
            
                USD $488,000 
            
            ",House,direction::Direction: North of Avon // East of Livernois||,"Property Type::
                        House
                    ||Land Size::
                
                    930.78
                    
                        m||Year Built::
                2013
            ||House Size::
                    
                        227.24
                        
                            m||Rooms::3 bedrooms/3 bathrooms/1  basement/||Architecture Style::Colonial||Num Floors::1.5||Provider::
                Great Day Real Estate, LLC
            ||Franchise::
                Keller Williams Realty
            ||County::
                Oakland
            ||Subdivision::
                GOLDEN HILLS SUB
            ||Parcel ID::
                1515302038
            ||Neighbourhoods::Rochester Hills||Address::557 Curzon Road, Rochester Hills, MI 48307||",Fire Place::True||Cable Ready::True||Wired::True||Roof Types::Asphalt||,Basement::True||Exterior Types::Brick||
"46000 Geddes Road, Canton, MI 48188","
            
                USD $97,900 
            
            ",House,"desc::There s no place like home, so make yours in Holiday Estates, a well-maintained, professionally-managed manufactured home community. For sale is a 1568 sq. ft. 3 bed/2 bath home. Call Holiday Estates today to schedule a viewing of this home and learn more about our flexible financing and low payment options! (Stock photos are for the purpose of reference only, photos do not reflect exact d cor colors or layout)||","Property Type::
                        House
                    ||Year Built::
                2021
            ||Rooms::3 bedrooms/2 bathrooms/||Architecture Style::Other||Year Updated::2021||Provider::
                Holiday Estates
            ||Address::46000 Geddes Road, Canton, MI 48188||",,
"29263 Bradbury Dr, Flat Rock, MI 48134","
            
                USD $309,900 
            
            ",House,desc::Wonderful colonial on a beautiful large lot that backs up to woods. This 4 bedroom home has 2.5 baths. Very open floor plan. Large great room opens to the kitchen and dining area. Hard wood floors throughout the entire first floor. Kitchen has granite counter top and plenty of storage and counter space. Large bedrooms. Owners suite has walk in closet and bathroom with large shower. Second floor laundry room. Two of the secondary bedrooms have walk in closets. Full basement. two car attached garage.||,"Property Type::
                        House
                    ||Land Size::
                
                    1,254.53
                    
                        m||Year Built::
                2009
            ||House Size::
                    
                        187.39
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1 livingroom/1  basement/||Architecture Style::Colonial||Num Floors::2.0||Year Updated::2009||Provider::
                NU VISION REALTY LLC
            ||Subdivision::
                Bradbury Park Sub
            ||Parcel ID::
                58131050003000
            ||Address::29263 Bradbury Dr, Flat Rock, MI 48134||",Roof Types::Asphalt||Floor Coverings::Carpet||,Basement::True||Exterior Types::Brick||
"47915 Barrington Drive, Canton Township, MI 48188","
            
                USD $468,310 
            
            ",House,"direction::Direction: From I-275 S: Follow I-275 South to Exit 22. Turn Right on US-12W/Michigan Avenue.  After 1.6 miles, take a slight right onto Geddes Road and community is on your right.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        167.13
                        
                            m||Rooms::3 bedrooms/2 bathrooms/1  basement/||Architecture Style::Other||Num Floors::1.0||Provider::
                MIHomes
            ||County::
                Wayne
            ||Subdivision::
                Park Creek
            ||Neighbourhoods::Park Creek||Address::47915 Barrington Drive, Canton Township, MI 48188||",,Basement::True||
"2932 GREENBROOKE Lane, West Bloomfield, MI 48324","
            
                USD $410,000 
            
            ",House,direction::Direction: Birchwood Park N off Commerce||,"Property Type::
                        House
                    ||Land Size::
                
                    1,375.93
                    
                        m||Year Built::
                1999
            ||House Size::
                    
                        279.55
                        
                            m||Rooms::4 bedrooms/4 bathrooms/1  basement/||Architecture Style::Colonial||Num Floors::2.0||Provider::
                Seller Nation
            ||County::
                Oakland
            ||Subdivision::
                BIRCHWOOD PARK NO 2
            ||Parcel ID::
                1807176018
            ||Neighbourhoods::West Bloomfield Twp||Address::2932 GREENBROOKE Lane, West Bloomfield, MI 48324||",Sprinkler System::True||Fire Place::True||Roof Types::Asphalt||,Basement::True||Exterior Types::Brick||
