name,price,type,description,features_result,i_features_result,o_features_result
"1305 Jennifer Lane, Houston, TX 77029","
            
                USD $140,000 
            
            ",House,"desc::BEAUTIFUL HOME, NEWLY REMODELED ADDED MASTER BEDROOM AND BATH AND STUDY. NEW FLOORING, PAINT AND TRIM THRU OUT THE HOME. THE ENTIRE HOME HAS BEEN UPDATED. LARGE BACK YARD WITH STORAGE BUILDING AND BACK UP TO THE PARK. SLIDING FENCE ALLOWS FOR ADDITIONAL PARKING.||","Property Type::
                        House
                    ||Year Built::
                1945
            ||House Size::
                    
                        114.27
                        
                            m||Rooms::3 bedrooms/2 bathrooms/||Architecture Style::New Traditional||Num Floors::1.0||Provider::
                Keller Williams - Houston-Northeast
            ||Franchise::
                Keller Williams Realty
            ||County::
                Harris
            ||Address::1305 Jennifer Lane, Houston, TX 77029||",Roof Types::Composition Shingle||Floor Coverings::Tile||,
"12459 Woodthorpe Ln, Houston, TX 77024-4136","
            
                USD $699,000 
            
            ",Other,"desc::Tucked away on a charming cul de sac in the center of Memorial meadows, this incredible home is centrally located adjacent to shopping, restaurants, and zoned to the much sought after SBISD. Beautiful and meticulously loved, this updated home features four bedrooms, two full baths, and serene backyard space including a koi pond! Come see, this home is not to be missed!||","Property Type::
                        Other
                    ||Land Size::
                
                    809.37
                    
                        m||Year Built::
                1963
            ||House Size::
                    
                        216.28
                        
                            m||Rooms::4 bedrooms/2 bathrooms/||Architecture Style::New Traditional||Provider::
                Engel & Volkers Houston
            ||Franchise::
                Engel & Völkers
            ||County::
                Harris
            ||Subdivision::
                Memorial Meadows
            ||Parcel ID::
                095-045-000-0003
            ||Address::12459 Woodthorpe Ln, Houston, TX 77024-4136||",Roof Types::Composition Shingle||,Lawn::True||
"3515 Cayo Hueso Lane, Houston, TX 77084","
            
                USD $247,990 
            
            ",House,"desc::2 Story, 5 Bedroom, 3 1/2 Bath, Master Down, Gameroom, Separate Garden Tub and Shower, Dual Vanity in Master, Tile in All Wet Areas, Kitchen Tile Backsplash, 42'' Upper Kitchen Cabinets, Granite Kitchen Countertops, Undermount Sink with Pull Out Faucet, Island in Kitchen, Stainless Steel Appliances with Microwave, Upgraded Lighting and Trim Packages, Wrought Iron Stair Parts, Covered Patio, Brick on Three Sides, Environments for Living Home, Garage Door Opener, plus more... AVAILABLE JANUARY.||","Property Type::
                        House
                    ||Year Built::
                2017
            ||House Size::
                    
                        252.60
                        
                            m||Rooms::5 bedrooms/4 bathrooms/||Architecture Style::New Traditional||Num Floors::2.0||Provider::
                Keller Williams - Signature
            ||Franchise::
                Keller Williams Realty
            ||County::
                Harris
            ||Address::3515 Cayo Hueso Lane, Houston, TX 77084||",Disabled Access::True||Wired::True||Roof Types::Composition Shingle||Floor Coverings::Carpet||,Deck::True||Lawn::True||Patio::True||
"11 Rains Way, Houston, TX 77007","
            
                USD $2,350,000 
            
            ",House,"desc::This remarkable home is a hidden treasure located in Houston's secluded Hogg Bird Sanctuary steps away from coveted Memorial Park. Rains Way is nestled on a private gated cul-de-sac. With a floor plan designed to accommodate a wide range of entertainment lifestyles this home is built to inspire any host. Expansive entryway unfolds onto sweeping staircase leading to impressive second story alcove. Luminescent living and kitchen area open onto an enchanting courtyard. Luxurious primary bedroom and bathroom suite boast vaulted ceilings, tall arched casement windows and European cast stone fireplace. Private stairwell leads from garage to the primary suite with access to guest quarters and third level. Located on the third level is an immense and flexible space suitable for a full guest apartment, or an expansive entertainment room. This stunning home is truly a must see!||","Property Type::
                        House
                    ||Land Size::
                
                    720.34
                    
                        m||Year Built::
                1999
            ||Car Spaces::2||House Size::
                    
                        600.25
                        
                            m||Rooms::5 bedrooms/6 bathrooms/||Architecture Style::French||Provider::
                Engel & Volkers Houston
            ||Franchise::
                Engel & Völkers
            ||Subdivision::
                Sanctuary
            ||Address::11 Rains Way, Houston, TX 77007||",Roof Types::Composition Shingle||,
"12526 Pelican Bay, Houston, TX 77038","
            
                USD $288,990 
            
            ",House,"direction::Direction: From Downtown Houston: Take 59 fwy North to Beltway 8 West. Exit Ella and continue on feeder road. Turn left onto Veterans Memorial Drive. Travel approx.. 1.5 miles and turn right on Fallbrook. Make a left on TC Jester, then a left on Vikram Dr/Wilshire Park. Model will be on your right at the corner. WELCOME!||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        159.51
                        
                            m||Rooms::4 bedrooms/2 bathrooms/||Architecture Style::Other||Num Floors::1.0||Provider::
                D.R. Horton Homes
            ||Subdivision::
                Princeton
            ||Neighbourhoods::Princeton||Address::12526 Pelican Bay, Houston, TX 77038||",,
"4003 Centre Meadow Way, Houston, TX 77043","
            
                USD $470,950 
            
            ",House,"desc::Spacious downstairs activity room or bedroom option. Lovely upstairs kitchen overlooking great room. Third floor owners suite with large walk-in closet and ample shelving. Elegant owners bath with double vanities and corner soaking tub. Secondary bedroom adjacent master suite on third floor. Attached 2-car garage, perfect for weekend projects.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        213.21
                        
                            m||Rooms::2 bedrooms/4 bathrooms/||Architecture Style::Other||Num Floors::3.0||Provider::
                K. Hovnanian Companies, LLC
            ||Subdivision::
                Centrepark Terrace
            ||Neighbourhoods::Centrepark Terrace||Address::4003 Centre Meadow Way, Houston, TX 77043||",,
"2024 Groveland Glen Drive, Houston, TX 77051","
            
                USD $412,990 
            
            ",House,desc::Open and spacious first floor living. Stunning kitchen overlooking dining area and great room. Two additional bedrooms or an optional home office. Second floor owners suite with large walk-in closet. Third floor loft with optional loft full bath. Attached 2-car garage.||,"Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        195.38
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::3.0||Provider::
                K. Hovnanian Companies, LLC
            ||Subdivision::
                Kirby Landing
            ||Neighbourhoods::Kirby Landing||Address::2024 Groveland Glen Drive, Houston, TX 77051||",,
"14003 Inland Hill Street, Houston, TX 77045","
            
                USD $345,990 
            
            ",House,"desc::Open kitchen overlooking great room, perfect for entertaining. Comfortable dining area just off kitchen with access to back yard. Elegant downstairs owner's suite with walk-in closet. Lovely owner's bath with soaker tub and optional double sinks. Open two-story great room, ideal for family gatherings. Convenient powder room off foyer. Attached two-car garage.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        184.88
                        
                            m||Rooms::4 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                K. Hovnanian Companies, LLC
            ||Subdivision::
                Bayou Oaks at West Orem
            ||Neighbourhoods::Bayou Oaks at West Orem||Address::14003 Inland Hill Street, Houston, TX 77045||",,
"11919 Lewisvale Green Drive, Humble, TX 77346","
            
                USD $359,950 
            
            ",House,"desc::Inviting dining room or private study option off foyer. Spacious one-story floorplan, ideal for entertaining. Kitchen overlooking comfortable dining area and family room. Open family room with optional fireplace. Elegant master suite with large walk-in closet and ample shelving. Lovely master bath with soaker tub. Attached 2-car garage.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        154.22
                        
                            m||Rooms::3 bedrooms/2 bathrooms/||Architecture Style::Other||Num Floors::1.0||Provider::
                K. Hovnanian Companies, LLC
            ||Subdivision::
                Balmoral
            ||Neighbourhoods::Balmoral||Address::11919 Lewisvale Green Drive, Humble, TX 77346||",,
"16902 Kyler Creek Trail, Humble, TX 77346","
            
                USD $622,835 
            
            ",House,direction::Direction: Latitude: 29.96179828Longitude:-95.20373372||,"Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        270.35
                        
                            m||Rooms::5 bedrooms/3 bathrooms/||Architecture Style::Other||Provider::
                J.F. Shea Co., Inc.
            ||County::
                Harris
            ||Subdivision::
                The Groves
            ||Neighbourhoods::The Groves||Address::16902 Kyler Creek Trail, Humble, TX 77346||",,
