name,price,type,description,features_result,i_features_result,o_features_result
"2469 SW 150th Street, Burien, WA 98166","
            
                USD $1,495,000 
            
            ",House,"desc::Privacy and tranquility await you at this shy acre in the heart of Seahurst. This updated and reimagined 1913 Craftsman home features gorgeous views of the Sound and Olympics from nearly every room. The generous and open main level has high ceilings, fir floors and easy flow between the welcoming foyer, chef's kitchen, living room, den, solarium and the large deck. Perfect for parties. Upstairs, the Primary with 5 piece en-suite and private deck provides a great place for your morning coffee. This floor has two additional bedrooms plus 3/4 bath. A full basement has laundry and plenty of room for storage, exercise and hobbies. The park-like yard offers lush grass and garden areas with potential for lot-split or ADU.||","Property Type::
                        House
                    ||Land Size::
                
                    3,739.30
                    
                        m||Year Built::
                1913
            ||House Size::
                    
                        314.48
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Provider::
                Engel & Volkers Seattle Downtown
            ||Franchise::
                Engel & Völkers
            ||Subdivision::
                Seahurst
            ||Address::2469 SW 150th Street, Burien, WA 98166||",,
"30 180th PL SE, BOTHELL, WA 98012","
            
                USD $1,594,995 
            
            ",House,"desc::D.R Horton is proud to introduce Bothell's newest luxury community. Middlebrook is now selling stunning new homes, so contact us today and schedule an exclusive appointment!||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        235.51
                        
                            m||Rooms::5 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                D.R. Horton Homes
            ||Subdivision::
                Middlebrook
            ||Neighbourhoods::Middlebrook||Address::30 180th PL SE, BOTHELL, WA 98012||",,
"5821 Waverly Road SW, Port Orchard, WA 98367","
            
                USD $619,995 
            
            ",House,"desc::Lets state the obvious: Port Orchard is a great place to live. The fresh air coming off the Puget Sound is refreshing, especially in the heat of the summer when those breezes will keep the temperature a little cooler. This might be one reason why so many people are moving from Seattle to Port Orchard. The other reason is that D.R. Horton has a brand new community in Port Orchard named Stetson Heights. Like our other communities, Stetson Heights features quality, well-designed homes filled with value. What are options at other builders may be standard at D.R. Hortons Stetson Heights community. Perhaps one of our homes at Stetson Heights has your name on it. If so, youll have the opportunity to select it from 7 of our most popular and creative floorplans. Some even feature 3-car garages, a feature increasingly difficult to find in new homes. Our 7 floorplans range from 1,725 to 2,770 sq. ft and some have dens/5th bedrooms on the main floor, a popular request from homebuyers. Most of the plans offer bonus rooms or loft rooms in addition to the standard 4 bedrooms and 2.5 or 2.75 bathrooms. Regardless of the size of home you need, D.R. Horton can meet your needs at Stetson Heights.Living at Stetson Heights and Port Orchard means you are also close to shopping, services, and recreational opportunities. Check out the Port Orchard Waterfront Park some weekend. Work at the U.S. Navy Shipyard in Bremerton? Stetson Heights offers a convenient commute. Dont delay and contact Stetson Heights to schedule a private appointment. Your dream home is waiting.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        235.51
                        
                            m||Rooms::5 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                D.R. Horton Homes
            ||Subdivision::
                Stetson Heights Horton
            ||Neighbourhoods::Stetson Heights Horton||Address::5821 Waverly Road SW, Port Orchard, WA 98367||",,
"28004 40th Pl. S., Auburn, WA 98001","
            
                USD $776,950 
            
            ",House,"direction::Direction: From I-5, take Exit 147/S. 272nd St. heading east. After approx. 1.5 mi., turn right on 42nd Ave. W., right on S. 280th St. and left on 40th Pl. S. to sales center on the left.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        203.36
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                KBHOME
            ||County::
                King
            ||Subdivision::
                Stafford Meadows
            ||Neighbourhoods::Stafford Meadows||Address::28004 40th Pl. S., Auburn, WA 98001||",,
"12421 67th Ave SE, SNOHOMISH, WA 98296",,House,"desc::CLOSED TODAY 3/24 AND TOMORROW 3/25.Nestled in the gorgeous landscape northeast of Osborn Corner, and west of Highway 9, you will find Remington Ranch. This highly anticipated and awe-striking community is now selling!Remington Ranch features 63 homesites and 13 different floorplans. Homes will range from 2,393  3,513 square feet with 3- 5 bedrooms, and all homes will boast generous included features, northwest contemporary flair, and curb appeal galore. Our sales agents are looking forward to showing you all that Remington Ranch has to offer. We can't wait to see you!To join the interest list for this community, click ""Request Info"" at the top of the page and enter your information. By adding your name to the interest list, you will receive all Remington Ranch community updates straight to your inbox as soon as they become available.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        326.37
                        
                            m||Rooms::6 bedrooms/4 bathrooms/||Architecture Style::Other||Num Floors::3.0||Provider::
                D.R. Horton Homes
            ||Subdivision::
                Remington Ranch
            ||Neighbourhoods::Remington Ranch||Address::12421 67th Ave SE, SNOHOMISH, WA 98296||",,
"34006 SE Indian Plum Street, Snoqualmie, WA 98065","
            
                USD $1,265,000 
            
            ",House,"desc::This spacious home sits on a quiet inviting street in the heart of coveted Snoqualmie Ridge: Upstairs you'll find a large primary suite with fireplace and huge walk-in closet, two roomy additional bedrooms, and an oversized bonus room. The main level offers wonderful living space, with an office, dining room, open kitchen with island that adjoins the great room and stepping out to the patio and fenced back yard. This home has it all! Come and add your touches and updates to make it YOURS!||","Property Type::
                        House
                    ||Land Size::
                
                    482.79
                    
                        m||Year Built::
                2006
            ||Car Spaces::2||House Size::
                    
                        290.79
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Provider::
                Engel & Volkers Snoqualmie Valley
            ||Franchise::
                Engel & Völkers
            ||Subdivision::
                Snoqualmie Ridge
            ||Address::34006 SE Indian Plum Street, Snoqualmie, WA 98065||",Fire Place::True||Roof Types::Composition Shingle||,
"5205 W Tapps Drive E, Lake Tapps, WA 98391","
            
                USD $535,000 
            
            ",House,"desc::Remarkable Lake Tapps home embodies the PNW! Gorgeous open concept upper floor features loads of natural light and stunning updated kitchen w/ dark shaker cabinets, SS appliances & SS farm sink. Wonderful primary ensuite with french doors to enjoy the breeze. Two additional bright, spacious bedrooms w/ updated full bath. Fabulous family room is the perfect place to relax and take in the game or add a foosball table for some friendly competition. Beautiful natural landscaping w/ huge deck ideal for entertaining; and picturesque pond for quiet reflection. Plenty of space for a firepit or that hot tub you've been dreaming of. Private community amenities include beach rights, boat launch, trail, playground and more.||","Property Type::
                        House
                    ||Land Size::
                
                    1,128.67
                    
                        m||Year Built::
                1990
            ||House Size::
                    
                        174.66
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Provider::
                Engel & Volkers Federal Way
            ||Franchise::
                Engel & Völkers
            ||Subdivision::
                Lake Tapps
            ||Address::5205 W Tapps Drive E, Lake Tapps, WA 98391||",,
"3146 Glacier Lane, Camano Island, WA 98282","
            
                USD $354,500 
            
            ",Other,"desc::Welcome to Camano Island where you will enjoy the tranquility of Island life Well maintained home 3 bed, 1 full bath,one 3\4bath. Master Bedroom w/French doors lead to a private deck Kitchen complete with nearly new appliances, room for dining table or additional living space. Enjoy cozy living room with free standing propane stove and slider to deck. Home has new interior paint, nearly new flooring, new Hot Water Tank,New Roof.This is move in ready, short distance to beaches and state park.||","Property Type::
                        Other
                    ||Land Size::
                
                    890.31
                    
                        m||Year Built::
                1993
            ||House Size::
                    
                        137.40
                        
                            m||Rooms::3 bedrooms/2 bathrooms/||Architecture Style::Other||Provider::
                NextHome, Inc
            ||Franchise::
                Realty World
            ||Address::3146 Glacier Lane, Camano Island, WA 98282||",,
"12712 168th St. E., Puyallup, WA 98374","
            
                USD $637,950 
            
            ",House,desc::* Den * Kitchen island with pendant lighting * 50-gal.. hybrid electric heat pump water heater * Tub/shower combination at secondary baths * High-efficiency LED exterior lighting * ENERGY STAR certified homes tested and verified by third-party inspector||,"Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        217.86
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                KBHOME
            ||County::
                Pierce
            ||Subdivision::
                Emerald Hollow
            ||Neighbourhoods::Emerald Hollow||Address::12712 168th St. E., Puyallup, WA 98374||",,
"10638 Glacier Way E, PUYALLUP, WA 98374",,House,"desc::Phase 4 COMING SOON! Conveniently located in the South Hill part of Puyallup, youll enjoy easy access to, I-5, SR 161/Meridian, SR 512, and SR 167. Relish stunning views of Mt. Rainier, sensible commutes to JBLM, Pacific Lutheran University, Port of Tacoma, and access to public transportation including Sounder Stations. Stores such as Walmart, Target, Costco, Home Depot, Fred Meyer, and South Hill Mall are all minutes away as well as an exciting array of restaurants, walking trails, and lakes! This community gives you urban accessibility while maintaining a laid-back lifestyle. If you like the opportunity to select from multiple floor plans, Rainier Ridge is the community to visit because we probably have the perfect one to fit your lifestyle. Rainier Ridge Homes range from approximately 1,577 to 3,259 sq. ft. and have up to 6 bedrooms. Some plans have a loft, den, or bonus room, and all feature 2-car garages. Give us a call today to learn why Rainier Ridge is right for you.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        190.45
                        
                            m||Rooms::4 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                D.R. Horton Homes
            ||Subdivision::
                Rainier Ridge Horton
            ||Neighbourhoods::Rainier Ridge Horton||Address::10638 Glacier Way E, PUYALLUP, WA 98374||",,
