name,price,type,description,features_result,i_features_result,o_features_result
"3224 PARK PLACE NW, WASHINGTON, DC 20010","
            
                USD $550,000 
            
            ",Townhouse,desc::All offers due Tuesday 3/17 by 12 noon.||,"Property Type::
                        Townhouse
                    ||Land Size::
                
                    161.87
                    
                        m||Year Built::
                1925
            ||House Size::
                    
                        153.66
                        
                            m||Rooms::3 bedrooms/2 bathrooms/1  basement/||Architecture Style::Federal||Provider::
                Compass
            ||County::
                WASHINGTON
            ||Subdivision::
                Columbia Heights
            ||Address::3224 PARK PLACE NW, WASHINGTON, DC 20010||",,Basement::True||Exterior Types::Brick||
"1309 1/2 D STREET SE, WASHINGTON, DC 20003","
            
                USD $1,300,000 
            
            ",Townhouse,"desc::Elegant, new fee simple townhomes located at award winning Buchanan Park. Offering world-class finishes, spacious floor plans, all brick exteriors, semi-private cobblestone driveways. Private roof deck & private garage included. Bosch appliances. Natural oak sand-in-place floors, crown moulding, marble bathrooms, Waterworks fixtures, dual zone heat and a/c, and more! Immediate delivery!||","Property Type::
                        Townhouse
                    ||Land Size::
                
                    96.72
                    
                        m||Year Built::
                2018
            ||House Size::
                    
                        176.33
                        
                            m||Rooms::3 bedrooms/5 bathrooms/1  basement/||Architecture Style::Federal||Provider::
                McWilliams/Ballard Inc.
            ||County::
                WASHINGTON
            ||Subdivision::
                Old City #1
            ||Neighbourhoods::WASHINGTON DC||Address::1309 1/2 D STREET SE, WASHINGTON, DC 20003||",Attic::True||,Basement::True||Exterior Types::Brick and Wood||
"2209 OBSERVATORY PLACE NORTHWEST, WASHINGTON, DC 20007","
            
                USD $789,000 
            
            ",Townhouse,"desc::This charming Glover Park row house is located on a quiet one-way street. Features include: a renovated open kitchen, like-new original oak hardwood floors, replaced windows and a finished basement with full bath. Ample outdoor space includes: front & back porches & a rare and inviting level fenced lawn in back! Easy walk just a few blocks to shops & restaurants on Wisconsin Ave.||","Property Type::
                        Townhouse
                    ||Land Size::
                
                    136.78
                    
                        m||House Size::
                    
                        133.97
                        
                            m||Rooms::3 bedrooms/2 bathrooms/||Address::2209 OBSERVATORY PLACE NORTHWEST, WASHINGTON, DC 20007||",Fire Place::True||,Basement::True||
"437 NEW YORK AVENUE NW, WASHINGTON, DC 20001","
            
                USD $524,900 
            
            ",Apartment,"desc::Sun-Drenched Unit at Yale Steam Laundry Condominium | 1 Bed | 1 Bath | 775 Sf | 1 Garage Parking Space | Building: Rooftop Deck w/ Pool, Fitness Center, 24-Hour Concierge, Billiard Room | Unit: Walls of Windows w/ Lots of Natural Light, South Facing | 9 Ft. Ceilings, Open Layout, Plenty of Storage, Hardwood Floors, Carpeted Bedroom, Full Size Washer & Dryer | Kitchen: Peninsula Island w/ Storage & Seating for 2, Custom Build-In Cabinetry, Granite Counter Tops, Stainless Steel Appliances, New Full Size Dishwasher, Electric Range, Tile Flooring | Bath: Quartz Topped Vanity w/ Storage, Subway Tile Back Splash, Large Soaking Tub, Tile Flooring||","Property Type::
                        Apartment
                    ||Year Built::
                2008
            ||Car Spaces::1||House Size::
                    
                        72.00
                        
                            m||Rooms::1 bedroom/1 bathroom/||Architecture Style::Contemporary||Provider::
                Compass
            ||County::
                WASHINGTON
            ||Subdivision::
                Mt Vernon Square
            ||Address::437 NEW YORK AVENUE NW, WASHINGTON, DC 20001||",,Exterior Types::Brick||
"459 MASSACHUSETTS AVE NW #22, WASHINGTON, DC 20001","
            
                USD $439,900 
            
            ",Apartment,direction::Direction: Red building on the corner of the intersection where Mass and I Street meet.||,"Property Type::
                        Apartment
                    ||Rooms::1 bedroom/1 bathroom/||Architecture Style::Other||Building Unit Count::22||Provider::
                Long & Foster Real Estate
            ||County::
                WASHINGTON
            ||Address::459 MASSACHUSETTS AVE NW #22, WASHINGTON, DC 20001||",,Exterior Types::Comb||
"H STREET NW, WASHINGTON, DC 20001","
            
                USD $71,480 
            
            ",Other,desc::A long time ago a carriage house was built a little over the line; lot 833 was created to address the error.||,"Property Type::
                        Other
                    ||Architecture Style::Other||Provider::
                Realty USA
            ||County::
                WASHINGTON
            ||Subdivision::
                Mt Vernon Square
            ||Address::H STREET NW, WASHINGTON, DC 20001||",,
"57 N STREET NW, WASHINGTON, DC 20001","
            
                USD $774,900 
            
            ",Apartment,"desc::Look no further! Welcome to the Historic Chapman Stables, a 2019 American Institute of Architects (AIA) award recipient. This First Floor unit is spacious and luminous with its very own front yard/outdoor space situated on the quaint side of Hanover St. NW with PRIVATE ENTRANCE (Unit has two entrance points). This home is in immaculate condition,   a corner unit that encompasses  both Historic and Modern features with 9+ foot concrete ceilings and lots of windows. Bosch appliances, an in-unit washer & dryer, quartz silestone counter,  moveable kitchen island (lots of storage), Spa shower w/Floating Sink & Frameless Glass Shower Door. Amenities include concierge, common roof top w/gas grill (amazing views of the Capitol and Monument),  and a private landscaped courtyard. ONE SECURED GARAGE PARKING SPACE INCLUDED + 1 LARGE STORAGE. Minutes away from Harris Teeter in NOMA and Safeway in Mount Vernon Triangle. Residents are close  to either VIDA Fitness Gym or Equinox Gym. Accessible to highway (395/66/50). Schedule your tour today!||","Property Type::
                        Apartment
                    ||Year Built::
                2018
            ||Car Spaces::1||House Size::
                    
                        97.08
                        
                            m||Rooms::2 bedrooms/2 bathrooms/||Architecture Style::Contemporary||Provider::
                McWilliams/Ballard Inc.
            ||County::
                WASHINGTON
            ||Subdivision::
                Truxton Circle
            ||Address::57 N STREET NW, WASHINGTON, DC 20001||",Intercom::True||Disabled Access::True||,
"136 BATES STREET NW, WASHINGTON, DC 20001","
            
                USD $750,000 
            
            ",Townhouse,"desc::Welcome Home!!!Excellent opportunity to own a piece of DC. Located on a quiet street in the heart of DC with rear off-street parking, this home is waiting on its new owner. In good shape but needs some TLC to bring it back to its natural beauty.  This home can be someone's home or used as a great investment property. Please contact the listing agent for more information and access.||","Property Type::
                        Townhouse
                    ||Land Size::
                
                    121.41
                    
                        m||Year Built::
                1910
            ||Car Spaces::2||House Size::
                    
                        126.35
                        
                            m||Rooms::3 bedrooms/2 bathrooms/||Architecture Style::Colonial||Provider::
                Fairfax Realty Select
            ||County::
                WASHINGTON
            ||Subdivision::
                Old City #2
            ||Address::136 BATES STREET NW, WASHINGTON, DC 20001||",,Exterior Types::Brick||
"40 N ST NE #306, WASHINGTON, DC 20002","
            
                USD $524,900 
            
            ",Apartment,direction::Direction: Heading East on New York Avenue turn right on 1st St NE and right on N St NE. From NoMa Metro exit First Street and turn left on N St NE.||,"Property Type::
                        Apartment
                    ||Year Built::
                2021
            ||Rooms::1 bedroom/1 bathroom/||Architecture Style::Other||Building Unit Count::306||Provider::
                Long & Foster Real Estate
            ||County::
                WASHINGTON
            ||Address::40 N ST NE #306, WASHINGTON, DC 20002||",,Elevator::True||Exterior Types::Concrete||
"40 N ST NE #706, WASHINGTON, DC 20002","
            
                USD $549,900 
            
            ",Apartment,direction::Direction: Heading East on New York Avenue turn right on 1st St NE and right on N St NE. From NoMa Metro exit First Street and turn left on N St NE.||,"Property Type::
                        Apartment
                    ||Year Built::
                2021
            ||Rooms::1 bedroom/1 bathroom/||Architecture Style::Other||Building Unit Count::706||Provider::
                Long & Foster Real Estate
            ||County::
                WASHINGTON
            ||Address::40 N ST NE #706, WASHINGTON, DC 20002||",,Elevator::True||Exterior Types::Concrete||
